Quarter End Date,Open,High,Low,Close,Volume,Dividends,ETF
2020-09-30,1993.1500244140625,2184.75,1892.699951171875,1907.81005859375,0,0.0,^XAX
2020-12-31,1914.8900146484375,2398.639892578125,1864.6600341796875,2360.89990234375,0,0.0,^XAX
2021-03-31,2385.679931640625,2862.360107421875,2350.5400390625,2715.27001953125,0,0.0,^XAX
2021-06-30,2715.27001953125,3353.280029296875,2711.1201171875,3171.030029296875,0,0.0,^XAX
2021-09-30,3171.030029296875,3270.360107421875,2834.510009765625,3230.7900390625,0,0.0,^XAX
2021-12-31,3230.7900390625,3561.610107421875,3212.330078125,3427.22998046875,0,0.0,^XAX
2022-03-31,3427.22998046875,4264.93994140625,3369.6298828125,4179.9599609375,0,0.0,^XAX
2022-06-30,4179.9599609375,4439.14990234375,3719.31005859375,3891.300048828125,0,0.0,^XAX
2022-09-30,3891.300048828125,4490.2998046875,3513.27001953125,4071.889892578125,0,0.0,^XAX
2022-12-31,4071.889892578125,4723.9599609375,4003.7900390625,4135.330078125,0,0.0,^XAX
2023-03-31,4135.330078125,4422.43994140625,3870.280029296875,4274.240234375,0,0.0,^XAX
2023-06-30,4274.240234375,4410.33984375,3824.2099609375,4182.47998046875,0,0.0,^XAX
2023-09-30,4182.47998046875,4678.18017578125,4067.35009765625,4592.31005859375,0,0.0,^XAX
2023-12-31,4592.31005859375,4707.52978515625,4332.72021484375,4594.31982421875,0,0.0,^XAX
2024-03-31,4594.31982421875,4873.06005859375,4389.31005859375,4873.06005859375,0,0.0,^XAX
2024-06-30,4873.06005859375,5094.93994140625,4554.47998046875,4829.66015625,0,0.0,^XAX
2024-09-30,4829.66015625,5336.10986328125,4618.41015625,5082.14013671875,0,0.0,^XAX
2024-12-31,5082.14013671875,5464.9501953125,4616.68994140625,4686.27978515625,0,0.0,^XAX
2025-03-31,4686.27978515625,5260.52001953125,4686.27978515625,4919.419921875,0,0.0,^XAX
2020-03-31,679.4600219726562,684.8099975585938,489.4200134277344,566.280029296875,0,0.0,^BUK100P
2020-06-30,566.280029296875,650.239990234375,539.47998046875,616.969970703125,0,0.0,^BUK100P
2020-09-30,616.969970703125,630.0800170898438,574.1599731445312,584.0599975585938,0,0.0,^BUK100P
2020-12-31,583.5499877929688,664.780029296875,549.3300170898438,652.6699829101562,0,0.0,^BUK100P
2021-03-31,644.25,687.5,636.1400146484375,670.9000244140625,0,0.0,^BUK100P
2021-06-30,670.9000244140625,719.0700073242188,670.5700073242188,701.6599731445312,0,0.0,^BUK100P
2021-09-30,701.6599731445312,719.7000122070312,678.3699951171875,705.719970703125,0,0.0,^BUK100P
2021-12-31,705.719970703125,739.969970703125,690.0599975585938,734.6500244140625,0,0.0,^BUK100P
2022-03-31,732.27001953125,762.9000244140625,677.5399780273438,749.7100219726562,0,0.0,^BUK100P
2022-06-30,749.7100219726562,763.6199951171875,697.9099731445312,715.2000122070312,0,0.0,^BUK100P
2022-09-30,715.2000122070312,757.2999877929688,681.7999877929688,689.1799926757812,0,0.0,^BUK100P
2022-12-31,689.1799926757812,759.9600219726562,670.1599731445312,747.219970703125,0,0.0,^BUK100P
2023-03-31,747.219970703125,805.2999877929688,721.0900268554688,763.7999877929688,0,0.0,^BUK100P
2023-06-30,763.7999877929688,793.8499755859375,738.3599853515625,751.6699829101562,0,0.0,^BUK100P
2023-09-30,751.6599731445312,772.1199951171875,719.5,760.7000122070312,0,0.0,^BUK100P
2023-12-31,760.7000122070312,774.9500122070312,725.8900146484375,772.469970703125,0,0.0,^BUK100P
2024-03-31,772.469970703125,797.3599853515625,739.5800170898438,795.7999877929688,0,0.0,^BUK100P
2024-06-30,795.7999877929688,846.1599731445312,778.8099975585938,813.6300048828125,0,0.0,^BUK100P
2024-09-30,813.6300048828125,841.25,790.4199829101562,824.6599731445312,0,0.0,^BUK100P
2024-12-31,824.6599731445312,842.489990234375,803.0700073242188,814.5499877929688,0,0.0,^BUK100P
2025-03-31,819.0700073242188,882.9099731445312,818.219970703125,882.1500244140625,0,0.0,^BUK100P
2020-03-31,1476.5899658203125,1539.739990234375,966.219970703125,1153.0999755859375,162185380000,0.0,^RUT
2020-06-30,1127.72998046875,1537.6199951171875,1035.3900146484375,1441.3699951171875,362202230000,0.0,^RUT
2020-09-30,1443.2900390625,1603.5999755859375,1384.0999755859375,1507.68994140625,271705430000,0.0,^RUT
2020-12-31,1508.5999755859375,2026.239990234375,1498.1099853515625,1974.8599853515625,287561840000,0.0,^RUT
2021-03-31,1975.780029296875,2360.169921875,1927.1500244140625,2220.52001953125,327571270000,0.0,^RUT
2021-06-30,2225.2900390625,2350.699951171875,2132.25,2310.550048828125,273990130000,0.0,^RUT
2021-09-30,2312.570068359375,2332.949951171875,2107.070068359375,2204.3701171875,250285240000,0.0,^RUT
2021-12-31,2205.909912109375,2458.860107421875,2107.679931640625,2245.31005859375,261272620000,0.0,^RUT
2022-03-31,2246.7099609375,2288.300048828125,1894.449951171875,2070.1298828125,311776860000,0.0,^RUT
2022-06-30,2071.219970703125,2103.360107421875,1641.469970703125,1707.989990234375,305344940000,0.0,^RUT
2022-09-30,1705.0699462890625,2030.050048828125,1650.7099609375,1664.719970703125,268181690000,0.0,^RUT
2022-12-31,1687.280029296875,1905.8399658203125,1641.93994140625,1761.25,273745000000,0.0,^RUT
2023-03-31,1769.75,2007.31005859375,1695.22998046875,1802.47998046875,274250890000,0.0,^RUT
2023-06-30,1804.02001953125,1906.8299560546875,1704.8199462890625,1888.72998046875,247773630000,0.0,^RUT
2023-09-30,1887.030029296875,2003.6199951171875,1761.6099853515625,1785.0999755859375,231574530000,0.0,^RUT
