Ticker,Name,Category,Min Investment
IGEB,iShares Investment Grade Systematic Bond ETF,ETF,1.0
JPIB,JPMorgan International Bond Opportunities ETF,ETF,1.0
FEZ,SPDR EURO STOXX 50 ETF,ETF,1.0
SPTI,SPDR Portfolio Intermediate Term Treasury ETF,ETF,1.0
CEMB,iShares J.P. Morgan EM Corporate Bond ETF,ETF,1.0
IBD,Inspire Corporate Bond ETF,ETF,1.0
HFXI,NYLI FTSE International Equity Currency Neutral ETF,ETF,1.0
KORP,American Century Diversified Corporate Bond ETF,ETF,1.0
VGIT,Vanguard Intermediate-Term Treasury Index Fund ETF Shares,ETF,1.0
FPEI,First Trust Institutional Preferred Securities and Income ETF,ETF,1.0
IEI,iShares 3-7 Year Treasury Bond ETF,ETF,1.0
PFFA,Virtus InfraCap U.S. Preferred Stock ETF,ETF,1.0
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares,ETF,1.0
STIP,iShares 0-5 Year TIPS Bond ETF,ETF,1.0
FALN,iShares Fallen Angels USD Bond ETF,ETF,1.0
URA,Global X Uranium ETF,ETF,1.0
HYDB,iShares High Yield Systematic Bond ETF,ETF,1.0
FLTW,Franklin FTSE Taiwan ETF,ETF,1.0
AUSF,Global X Adaptive U.S. Factor ETF,ETF,1.0
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,ETF,1.0
RLY,SPDR SSgA Multi-Asset Real Return ETF,ETF,1.0
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund ETF Shares,ETF,1.0
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,ETF,1.0
IQLT,iShares MSCI Intl Quality Factor ETF,ETF,1.0
SJNK,SPDR Bloomberg Short Term High Yield Bond ETF,ETF,1.0
BLCN,Siren Nasdaq NexGen Economy ETF,ETF,1.0
SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF,ETF,1.0
PBTP,Invesco 0-5 Yr US TIPS ETF,ETF,1.0
HYUP,Xtrackers High Beta High Yield Bond ETF,ETF,1.0
DRSK,Aptus Defined Risk ETF,ETF,1.0
MMIT,NYLI MacKay Muni Intermediate ETF,ETF,1.0
FLEU,Franklin FTSE Eurozone ETF,ETF,1.0
VRP,Invesco Variable Rate Preferred ETF,ETF,1.0
LMBS,First Trust Low Duration Opportunities ETF,ETF,1.0
ANGL,VanEck Fallen Angel High Yield Bond ETF,ETF,1.0
